블로그주소,게시글제목,주차,문단,문단순번
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,🌱프롤로그,1
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,"나는 기계설계자동화공학을 전공했다. 쉽게 기계공학과라고 하고 다니긴 하지만, 뭐 여러 잡다한 것들을 많이 했다.",2
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,"코딩도 조금 해봤었는데, 사실 혼자서 코드 짜고 고치고 하는 게 재미있었던 기억이 있다.",3
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,암튼... 요새는 생산 분야에서도 Big Data와 AI를 활용한 스마트 팩토리로의 전환을 하고있다고 알고 있다.,4
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,그래서 이 교육을 들으면서 Data 처리와 AI에 대한 개념을 잡을 수 있다면 도움이 될 것이라 생각했다.,5
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,꼭 그렇지 않아도 교육 내용이 활용 분야가 넓기 때문에 뭐라도 할 수 있지 않을까? 라는 생각에 교육을 신청했다.,6
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,​,7
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,✏️,8
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,이번 주 학습 내용,9
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,-,10
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,핵심 키워드,11
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,": Python 환경 설치, Git 사용법, 기본 문법 (자료형, 함수, 제어문, 클래스)",12
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,​,13
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,- 새롭게 알게 된 점,14
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,C++에서는 변수를 정의해줄 때 그 변수의 타입을 명시해줘야 했던 걸로 기억한다. 근데 Python은 그럴 필요가 없단다.,15
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,"Python이 더 편리하다고 들어오긴 했는데, 여러 부분에서 느끼고 있다.",16
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,​,17
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,- 어려웠던 점,18
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,사실 함수랑 제어문까지는 예전에 배웠던 기억을 더듬어 알고있던 문법만 조금씩 바꾸면 됐다.,19
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,허나 클래스는 처음 접해보는 개념이라... 이 놈 등장하고 나서부터 머리가 조금씩 아프다.,20
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,열심히 해야겠다 ㅎ,21
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,​,22
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,💡 좋았던 점,23
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,- 기초 다지기,24
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,강사님께서 굉장히 친절하게 알려주신다.,25
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,"나도 비전공자이지만, 어느 새 교육을 들으며 고개를 끄덕이고 있더라.",26
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,알려주신 내용을 바탕으로 실습 문제를 혼자 풀면서 코딩에 적응도 하고...,27
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,이후 강사님께서 더 쉽게 or 다른 방식으로 문제를 풀어주시는 것을 보고나면 재밌기도 하다.,28
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,​,29
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,- 코딩 테스트 (PCCE),30
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,교육 수강생들을 대상으로 달마다 무료 코딩 테스트도 진행한다.,31
https://blog.naver.com/PostView.naver?blogId=effort1234&Redirect=View&logNo=223816466823&categoryNo=6&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=15842,[1주차] SK 네트웍스 Family AI 부트캠프 회고록 : 네이버 블로그,1.0,"못 풀더라도 어떤 방식으로 진행되는지 궁금해서 신청했는데, 얼떨결에 교육 2일차에 보게 되었다.",32
