Q,A
초반 수업 흐름이 너무 빠르고 정신이 없습니다.,"수업이 너무 빨라서 당황스럽습니다.

익숙하지 않은 용어와 툴(예: Jupyter, Markdown, VSCode 등)은 당연히 버겁습니다. 아래 방식으로 안정감을 잡아보세요.

실행 방법:
Notion에 “오늘 처음 들은 단어 리스트” 만들기 → 수업 후 각자 1줄씩 정의 정리

수업 중 한 번이라도 놓친 내용은 즉시 “❓” 표시 → 수업 끝나고 반드시 검색 또는 질문

혼란 포인트는 블로그 회고에 “오늘 헷갈린 것 TOP3”로 요약"
기본 지식이 부족해서 따라가기 벅찹니다.,"비전공자인데 너무 어렵습니다.

전공자도 비슷한 지점에서 막힙니다. 중요한 건 속도가 아니라 기초를 반복해 체화하는 전략입니다.

실행 방법:
Python 문법은 교재 예제 → 빈칸만 다시 타이핑하는 방식으로 손에 익히기

실습 코드 중 이해 안 간 부분은 → 구글링 후 해당 줄 옆에 직접 주석 달기

“몰랐던 개념 요약 + 내가 해석한 방식”을 블로그 회고에 매일 1개씩 정리"
수업이 끝나면 뭘 복습해야 할지 막막합니다.,"복습을 잘 못 하겠어요. 어떻게 해야 하나요?

복습은 '전체 반복'이 아니라 **'오늘 막혔던 1~2개만 복습하는 구조'**로 접근해야 유지됩니다.

실행 방법:
수업이 끝난 직후 → “오늘 막혔던 코드 TOP2” 복사해서 내 Notion에 붙여놓기

저녁에 그 코드 다시 실행해보기 + 한 줄씩 설명 주석 달기

블로그 회고 제목을 **“오늘 내가 이해한 것 1개만 설명해보기”**로 제한"
다들 빠르게 가는데 나는 하나하나 이해 안 돼요.,"진도가 너무 빨라요. 놓치면 어떻게 하나요?

진도 스트레스를 줄이려면 “전체 중 핵심만 챙기는 기술”이 필요합니다.

실행 방법:
매 수업마다 “오늘 가장 핵심 개념 1개”만 선정해서 따로 정리

하루 10분만 투자해서 “내가 오늘 동기에게 설명할 수 있는 것 1개만 연습”

블로그 회고는 “수업 전체 정리”가 아니라, “오늘 개념 요약 1개 + 관련 예제 코드 1개” 구조로 단순화"
강의 후 바로 실습하는 게 너무 부담입니다.,"실습 시간이 너무 어려워요. 어떻게 적응해야 하죠?

실습은 시험이 아니라 **“실패 허용 구간”**입니다. 틀리고 구글링하고 고치면서 배우는 게 핵심이에요.

실행 방법:
실습 시간엔 처음부터 정답 찾으려 하지 말고, 빈칸부터 채워보기

막히는 포인트는 # ❓ 이 부분 잘 이해 안 됨 표시하고 저장

수업 끝난 뒤엔 GitHub에 내 실습 코드를 올리고, 주석으로 내가 직접 요약한 흐름 정리"
하루 끝나면 진이 빠지고 ‘이 길이 맞나’ 싶은 생각이 듭니다.,"멘탈이 자꾸 무너집니다. 지치는 걸 어떻게 극복하죠?

중요한 건 **‘멘탈을 올리는 기술’보다 ‘무너지지 않게 받쳐주는 습관’**입니다.

실행 방법:
하루 마무리에 “오늘 이건 해냈다”를 Google Keep이나 다이어리에 1문장 기록

매주 금요일, 그 기록을 5분간 읽어보며 스스로의 흐름 확인

누군가의 회고글에 댓글 1개 달기 → 공감 공유가 멘탈에 큰 버팀목이 됨"
"블로그 회고 쓰는 게 어렵고, 중간에 자주 멈춰요.","회고를 어떻게 써야 꾸준히 쓸 수 있나요?

회고는 잘 쓰는 게 아니라 **“쓰기 쉽게 구조화하는 게 먼저”**입니다.

실행 방법:
템플릿 고정:
① 오늘 배운 개념 1줄 요약
② 가장 막혔던 실습 설명
③ 내일 복습할 것 메모 1개

복붙 가능한 회고 틀을 Notion에 만들어두고, 매일 ‘비워진 틀’만 채우는 방식으로 작성"
피드백을 들어도 막상 실전에 적용이 안 됩니다.,"강사님 피드백을 어떻게 활용해야 하나요?

피드백을 ‘한 번 듣고 끝’이 아니라, 실습 코드에 흡수시켜야 체화됩니다.

실행 방법:
수업 중 받은 피드백은 → 실습 코드 복붙 후 주석으로 요약해서 정리

“피드백 받은 날” 태그를 만들어서 매주 다시 그 코드만 열어보기

회고에 “오늘 들은 피드백 → 내가 바꾼 코드 예시”를 반드시 첨부"
팀 프로젝트나 단위 과제가 너무 막막해요.,"프로젝트나 과제가 너무 부담됩니다.

프로젝트는 완성보다 **""기록 중심 협업 연습""**이라고 생각하세요.

실행 방법:
회의 시간에는 ‘역할 분담’보다 먼저 “오늘 내가 해야 할 질문”을 미리 작성

팀 GitHub에 “📁 내 폴더 + README.md” 만들고 내가 맡은 파트 설명 5줄 이상 쓰기

기능 구현보다 먼저 → 데이터 흐름 도식화(예: mermaid, draw.io) 후 팀원 공유"
질문이 어설플까봐 말 꺼내기가 힘듭니다.,"질문을 잘 못하겠어요. 부끄럽고 눈치 보여요.

질문은 “모르는 걸 묻는 것”이 아니라 **“공유 가능한 사고의 흔적”**입니다.

실행 방법:
실습 중 막히면 # ❓질문 후보 태그 달기 → 수업 끝난 뒤 3개 중 1개만 정제해서 디스코드에 올리기

질문 포맷 고정: 문제상황 → 내가 시도한 방법 → 막힌 지점 요약

Notion에 “내가 했던 질문 모음집” 정리 → 나중에 블로그로 확장 가능"
